Date,Open,High,Low,Close,Adj Close,Volume
2020-05-11,85.080002,88.459999,83.980003,87.900002,83.665703,19219800
2020-05-12,90.000000,92.230003,88.470001,90.459999,86.102379,23492300
2020-05-13,90.739998,92.239998,87.730003,88.870003,84.588982,23562600
2020-05-14,87.620003,90.480003,87.430000,89.940002,85.607437,13379500
2020-05-15,90.010002,91.150002,89.419998,90.709999,86.340340,14071200
2020-05-18,92.000000,93.660004,91.309998,91.470001,87.063728,16300200
2020-05-19,91.260002,91.650002,89.559998,91.199997,86.806725,9892500
2020-05-20,92.129997,92.540001,89.900002,91.190002,86.797203,10661500
2020-05-21,91.279999,93.129997,90.349998,93.019997,88.539063,10393200
2020-05-22,92.870003,93.010002,91.730003,92.099998,87.663376,5507000
2020-05-26,93.449997,93.570000,90.309998,90.709999,86.340340,11869800
2020-05-27,90.540001,91.000000,88.559998,89.980003,85.645508,12529500
2020-05-28,90.870003,91.190002,90.000000,90.029999,85.693092,8765900
2020-05-29,91.000000,92.889999,89.599998,92.669998,88.205917,13758800
2020-06-01,92.050003,93.059998,90.690002,90.699997,86.330811,8486500
2020-06-02,90.970001,91.699997,90.050003,91.040001,86.654434,9413300
2020-06-03,91.470001,91.500000,89.599998,90.889999,86.511665,8588400
2020-06-04,90.279999,93.480003,90.250000,93.040001,88.558090,9525700
2020-06-05,93.500000,95.540001,92.809998,93.849998,89.329079,9630100
2020-06-08,92.910004,95.010002,92.809998,94.589996,90.033424,6621400
2020-06-09,94.949997,96.660004,94.760002,96.169998,91.537308,9555900
2020-06-10,96.989998,99.349998,96.800003,96.900002,92.232155,11138300
2020-06-11,95.690002,96.889999,92.029999,92.260002,87.815666,12584800
2020-06-12,93.739998,94.739998,91.029999,92.459999,88.006035,8010100
2020-06-15,91.269997,94.029999,90.779999,93.080002,88.596176,7120200
2020-06-16,94.860001,96.199997,93.480003,96.059998,91.432610,9366100
2020-06-17,96.849998,97.099998,95.269997,95.739998,91.128036,6212200
2020-06-18,95.559998,96.449997,95.260002,96.230003,91.594421,4571600
2020-06-19,97.720001,98.199997,95.750000,96.709999,92.051300,9210900
2020-06-22,96.639999,97.300003,95.820000,97.269997,92.584335,6004300
2020-06-23,98.419998,99.099998,97.050003,97.309998,92.622398,6715600
2020-06-24,96.459999,97.160004,94.349998,95.139999,90.556931,9025100
2020-06-25,95.180000,97.070000,94.320000,96.989998,92.317818,6411700
2020-06-26,96.889999,97.029999,95.040001,96.129997,91.499245,14568400
2020-06-29,96.500000,97.330002,95.680000,96.440002,91.794312,6676400
2020-06-30,95.970001,98.879997,95.830002,98.180000,93.450493,8112500
2020-07-01,98.500000,99.660004,97.500000,99.139999,94.364250,6522900
2020-07-02,99.449997,99.989998,97.860001,98.879997,94.116768,6158800
2020-07-06,99.639999,99.800003,97.949997,99.010002,94.240509,7039000
2020-07-07,98.680000,100.690002,98.559998,99.349998,94.564133,6345600
2020-07-08,99.750000,100.570000,98.550003,99.279999,94.497505,6154400
2020-07-09,99.080002,99.779999,96.809998,97.940002,93.222054,5817300
2020-07-10,98.059998,98.330002,96.360001,96.830002,92.165520,6202500
2020-07-13,97.360001,99.559998,96.919998,97.860001,93.145912,8507400
2020-07-14,96.970001,99.099998,95.940002,98.870003,95.255852,6765600
2020-07-15,100.000000,100.480003,98.820000,100.480003,96.806999,5661600
2020-07-16,99.690002,100.230003,98.809998,99.919998,96.267464,4269200
2020-07-17,100.290001,101.279999,99.919998,100.830002,97.144203,6890900
2020-07-20,100.760002,101.250000,99.260002,99.540001,95.901360,4823300
2020-07-21,99.809998,99.809998,97.169998,97.400002,93.839584,8239000
2020-07-22,97.800003,98.279999,96.930000,97.699997,94.128616,4441800
2020-07-23,98.239998,98.919998,97.449997,98.029999,94.446556,5127200
2020-07-24,98.050003,98.190002,96.459999,97.110001,93.560188,5169400
2020-07-27,96.349998,97.889999,96.260002,97.160004,93.608360,5030700
2020-07-28,97.000000,97.620003,96.459999,96.709999,93.174805,5941800
2020-07-29,96.870003,97.400002,96.639999,97.010002,93.463844,5512000
2020-07-30,96.309998,96.739998,95.410004,96.040001,92.529297,6411500
2020-07-31,95.540001,97.250000,93.550003,94.910004,91.440613,14613000
2020-08-03,95.190002,97.169998,95.059998,95.940002,92.432961,6919000
2020-08-04,95.919998,96.029999,94.059998,94.290001,90.843269,7865100
2020-08-05,94.470001,94.800003,93.129997,93.250000,89.841286,6918900
2020-08-06,93.320000,93.650002,91.779999,92.570000,89.186134,7269300
2020-08-07,92.690002,93.000000,92.199997,92.919998,89.523346,5226600
2020-08-10,92.629997,93.669998,92.150002,92.379997,89.003082,7623600
2020-08-11,92.309998,93.290001,92.129997,92.669998,89.282486,7208400
2020-08-12,93.449997,95.580002,93.330002,95.510002,92.018669,7705600
